PDB_ID,True_Affinity,Predicted_Affinity,Error,Absolute_Error
1f1t_LIG,7.397940009,8.59437084197998,1.1964308329799804,1.1964308329799804
1fyp_LIG,5.602059991,5.650884628295898,0.048824637295898476,0.048824637295898476
1i9v_LIG,3.465973894,4.9631781578063965,1.4972042638063963,1.4972042638063963
1nzm_LIG,6.48148606,5.402418613433838,-1.079067446566162,1.079067446566162
1qms_LIG,9.0,7.812462329864502,-1.187537670135498,1.187537670135498
2f4s_LIG,4.721246399,4.465742111206055,-0.2555042877939453,0.2555042877939453
2kdq_LIG,7.522878745,8.147773742675781,0.6248949976757814,0.6248949976757814
2ku0_LIG,5.585026652,6.972517490386963,1.387490838386963,1.387490838386963
2kx8_LIG,5.199970641,3.7825565338134766,-1.4174141071865236,1.4174141071865236
2l94_LIG,3.443697499,5.861295700073242,2.417598201073242,2.417598201073242
2xnw_LIG,3.431798276,4.226326942443848,0.7945286664438478,0.7945286664438478
2ydh_LIG,5.709965389,6.621176242828369,0.9112108538283694,0.9112108538283694
3ds7_LIG,4.408935393,6.7212934494018555,2.3123580564018553,2.3123580564018553
3fu2_LIG,7.698970004,5.64169979095459,-2.0572702130454106,2.0572702130454106
3mum_LIG,9.677780705,8.7974271774292,-0.8803535275708008,0.8803535275708008
3q50_LIG,8.688246139,7.108147621154785,-1.5800985178452152,1.5800985178452152
3sd3_LIG,4.744727495,6.4939494132995605,1.7492219182995603,1.7492219182995603
408d_LIG,7.318758763,5.860809803009033,-1.4579489599909667,1.4579489599909667
4fe5_LIG,6.135488919,5.562992095947266,-0.5724968230527345,0.5724968230527345
4l81_LIG,5.13667714,6.888306617736816,1.7516294777368167,1.7516294777368167
4lvx_LIG,4.744727495,6.567807197570801,1.8230797025708005,1.8230797025708005
4lvy_LIG,3.958607315,7.0480055809021,3.0893982659020995,3.0893982659020995
4lvz_LIG,6.301029996,5.90132999420166,-0.3997000017983394,0.3997000017983394
4lw0_LIG,5.096910013,4.708549976348877,-0.3883600366511226,0.3883600366511226
4qlm_LIG,7.180456064,6.463146209716797,-0.7173098542832035,0.7173098542832035
5z80_LIG,5.913640169,5.160364627838135,-0.753275541161865,0.753275541161865
6d2u_LIG,9.744727495,8.069209098815918,-1.6755183961840814,1.6755183961840814
6j2w_LIG,5.853871964,4.720746040344238,-1.1331259236557614,1.1331259236557614
