PDB_ID,True_Affinity,Predicted_Affinity,Error,Absolute_Error
1cvy_LIG,6.420216403,6.127641677856445,-0.2925747251435551,0.2925747251435551
1f27_LIG,6.0,3.841245174407959,-2.158754825592041,2.158754825592041
1uts_LIG,7.408935393,4.89755916595459,-2.5113762270454103,2.5113762270454103
2mxs_LIG,5.292429824,5.305001258850098,0.012571434850097596,0.012571434850097596
2o3x_LIG,4.301029996,5.147329807281494,0.8462998112814946,0.8462998112814946
2xo1_LIG,4.0,5.999335765838623,1.999335765838623,1.999335765838623
2ygh_LIG,6.508638306,5.7931108474731445,-0.7155274585268554,0.7155274585268554
3e5c_LIG,9.244125144,5.198510646820068,-4.0456144971799315,4.0456144971799315
3g4m_LIG,5.356547324,5.31026029586792,-0.04628702813208019,0.04628702813208019
3ges_LIG,4.698970004,4.982879161834717,0.2839091578347164,0.2839091578347164
3gog_LIG,4.619788758,5.37860631942749,0.7588175614274899,0.7588175614274899
3la5_LIG,6.0,4.710500240325928,-1.2894997596740723,1.2894997596740723
407d_LIG,6.463441557,6.171223163604736,-0.292218393395264,0.292218393395264
4kqy_LIG,7.721246399,6.055239677429199,-1.6660067215708008,1.6660067215708008
4lx6_LIG,7.022276395,5.85401725769043,-1.1682591373095699,1.1682591373095699
4nyb_LIG,3.987162775,4.225106716156006,0.23794394115600603,0.23794394115600603
4nyc_LIG,3.552841969,4.623329162597656,1.070487193597656,1.070487193597656
4qk8_LIG,6.522878745,5.816451549530029,-0.7064271954699706,0.7064271954699706
4qln_LIG,5.537602002,5.823306560516357,0.28570455851635757,0.28570455851635757
5uzz_LIG,6.698970004,7.9316935539245605,1.2327235499245601,1.2327235499245601
5v3f_LIG,8.522878745,7.536955833435059,-0.9859229115649413,0.9859229115649413
6c65_LIG,9.045757491,7.202667236328125,-1.8430902546718748,1.8430902546718748
6dlt_LIG,4.227678293,5.150700092315674,0.9230217993156735,0.9230217993156735
6dmc_LIG,6.292429824,6.817009449005127,0.5245796250051269,0.5245796250051269
6e8s_LIG,8.638272164,6.800665378570557,-1.8376067854294433,1.8376067854294433
6e8t_LIG,8.769551079,6.752669811248779,-2.01688126775122,2.01688126775122
6hbt_LIG,5.327902142,2.794696092605591,-2.5332060493944093,2.5332060493944093
6p2h_LIG,7.468521083,5.7320556640625,-1.7364654189374997,1.7364654189374997
